TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
ATP8B2	1236	4036
ATP8B3	170	82
ATP8B4	28	975
ATP9A	10027	19792
ATP9B	1211	1399
ATPAF1	3121	7413
ATPAF2	357	444
ATR	2786	2252
ATRAID	4441	6117
ATRIP	1218	497
ATRN	8063	5858
ATRNL1	16	97
ATRX	5234	8218
ATXN1	3069	3349
ATXN10	6975	5104
ATXN1L	2605	5478
ATXN2	1794	2400
ATXN2L	5550	3320
ATXN3	700	1867
ATXN3L	0	0
ATXN7	1657	1848
ATXN7L1	531	747
ATXN7L2	457	125
ATXN7L3	4554	2154
ATXN7L3B	5389	5965
AUH	355	1445
AUNIP	789	43
AUP1	8055	4462
AURKA	2998	119
AURKAIP1	5675	1984
AURKB	2036	40
AURKC	142	50
AUTS2	5497	3204
AVEN	951	678
AVIL	98	288
AVL9	5021	2584
AVP	0	1
AVPI1	594	2011
AVPR1A	455	1609
AVPR1B	0	1
AVPR2	8	513
AWAT1	0	2
AWAT2	1	0
AXDND1	4	5
AXIN1	2498	901
AXIN2	146	376
AXL	3632	7939
AZGP1	55414	19038
AZI2	605	1832
AZIN1	15627	11729
AZIN2	528	228
AZU1	5	2
B2M	78874	134220
B3GALNT1	2193	663
B3GALNT2	2149	915
B3GALT1	6	49
B3GALT2	2	19
B3GALT4	309	465
B3GALT5	26	195
B3GALT6	1531	677
B3GAT1	1	83
B3GAT2	32	13
B3GAT3	1478	677
B3GNT2	2665	1596
B3GNT3	263	129
B3GNT4	70	1
B3GNT5	983	354
B3GNT6	1	0
B3GNT7	849	168
B3GNT8	111	83
B3GNT9	368	700
B3GNTL1	415	144
B4GALNT1	184	105
B4GALNT2	12	0
B4GALNT3	1592	126
B4GALNT4	2338	83
B4GALT1	13403	6866
B4GALT2	6207	2578
B4GALT3	7675	1295
B4GALT4	1471	776
B4GALT5	6236	5083
B4GALT6	151	915
B4GALT7	1162	933
B4GAT1	775	2486
B9D1	448	400
B9D2	268	100
BAALC	44	384
BAAT	5	9
BABAM1	796	750
BACE1	659	1861
BACE2	13747	2999
BACH1	3333	2138
BACH2	193	470
BAD	456	361
BAG1	1757	3693
BAG2	259	585
BAG3	4430	2945
BAG4	903	4033
BAG5	2468	3875
BAG6	16046	10010
BAHCC1	2957	1070
BAHD1	2089	1102
BAIAP2	3395	751
BAIAP2L1	4811	371
BAIAP2L2	816	60
BAIAP3	138	176
BAK1	2285	463
BAMBI	7383	494
BANF1	6101	2941
BANF2	2	0
BANK1	25	1441
BANP	783	424
BAP1	4108	4021
BARD1	877	266
BARHL1	0	0
BARHL2	3	2
BARX1	127	0
BARX2	825	355
BASP1	2800	980
BATF	406	67
BATF2	214	197
BATF3	82	50
BAX	4410	687
BAZ1A	3971	1774
BAZ1B	12240	7854
BAZ2A	5075	6442
BAZ2B	1120	2495
BBC3	755	85
BBIP1	383	700
BBOX1	349	318
BBS1	12	10
BBS10	434	2242
BBS12	234	504
BBS2	827	2411
BBS4	453	1038
BBS5	164	227
BBS7	623	919
BBS9	695	1180
BBX	3940	5532
BCAM	10279	7206
BCAN	29	51
BCAP29	45	36
BCAP31	19036	20188
BCAR1	4353	1416
BCAR3	1620	1796
BCAS1	60	309
BCAS2	1901	1870
BCAS3	239	1645
BCAS4	1149	166
BCAT1	4001	1528
BCAT2	2952	1616
BCCIP	3896	1992
BCDIN3D	276	208
BCHE	355	674
BCKDHA	32	4
BCKDHB	690	3296
BCKDK	2116	2424
BCL10	1163	941
BCL11A	1885	130
BCL11B	51	111
BCL2	395	7523
BCL2A1	2651	30
BCL2L1	4239	2630
BCL2L10	18	16
BCL2L11	3033	1214
BCL2L12	4803	232
BCL2L13	2858	6960
BCL2L14	87	21
BCL2L15	13	22
BCL2L2	2353	6716
BCL2L2-PABPN1	8	5
BCL3	4872	1139
BCL6	2001	9719
BCL6B	985	1625
BCL7A	1152	1050
BCL7B	3321	3129
BCL7C	921	693
BCL9	5352	1169
BCL9L	4286	3699
BCLAF1	9528	7044
BCO1	2	6
BCO2	23	76
BCOR	2638	1259
BCORL1	1842	1198
BCR	6637	4674
BCS1L	1136	859
BDH1	996	1380
BDH2	408	1458
BDKRB1	40	15
BDKRB2	1177	789
BDNF	6	17
BDP1	1275	2620
BEAN1	186	69
BECN1	6566	2681
BECN2	2	0
BEGAIN	43	53
BEND2	0	2
BEND3	880	204
BEND4	0	11
BEND5	156	222
BEND6	93	105
BEND7	788	948
BEST1	53	443
BEST2	0	2
BEST3	2	1
BEST4	5	7
BET1	1323	1459
BET1L	2440	2397
BEX1	8	32
BEX2	815	134
BEX4	1308	1952
BEX5	5	134
BFAR	6979	3983
BFSP1	154	90
BFSP2	2	4
BGLAP	9	3
BGN	49802	13377
BHLHA15	875	32
BHLHA9	0	2
BHLHE22	10	220
BHLHE23	0	0
BHLHE40	14146	4976
BHLHE41	3399	4496
BHMT	2	14
BHMT2	135	4821
BICC1	918	2623
BICD1	1701	468
BICD2	3010	2764
BID	3180	1170
BIK	344	43
BIN1	2580	5192
BIN2	214	323
BIN3	302	506
BIRC2	4070	3384
BIRC3	2574	998
BIRC5	5436	84
BIRC6	7321	6546
BIRC7	15	2
BIRC8	0	0
BIVM	516	871
BIVM-ERCC5	0	0
BLCAP	4076	8010
BLID	1	0
BLK	1	8
BLM	724	70
BLMH	1069	2049
BLNK	373	229
BLOC1S1	152	214
BLOC1S2	1244	1566
BLOC1S3	1948	728
BLOC1S4	734	372
BLOC1S5	523	878
BLOC1S6	2359	4208
BLVRA	1795	3327
BLVRB	4457	3396
BLZF1	1267	1655
BMF	1853	668
BMI1	2522	2774
BMP1	3076	2170
BMP10	0	1
BMP15	0	0
BMP2	534	575
BMP2K	339	629
BMP3	14	319
BMP4	70	1015
BMP5	51	194
BMP6	98	955
BMP7	1583	226
BMP8A	1764	59
BMP8B	859	118
BMPER	29	952
BMPR1A	1328	3094
BMPR1B	137	213
BMPR2	8334	12915
BMS1	7435	2981
BMX	11	502
BNC1	9	25
BNC2	371	2421
BNIP1	529	409
BNIP2	2515	7217
BNIP3	6986	5942
BNIP3L	5387	22531
BNIPL	124	161
BOC	780	4244
BOD1	1724	2455
BOD1L1	2347	5072
BOD1L2	0	1
BOK	3593	10995
BOLA1	1029	566
BOLA3	441	180
BOLL	2	1
BOP1	6860	792
BORA	346	124
BPGM	1476	1034
BPHL	1002	1442
BPI	29	8
BPIFA1	0	0
BPIFA2	0	0
BPIFA3	0	0
BPIFB1	111	20
BPIFB2	0	793
BPIFB3	0	0
BPIFB4	0	0
BPIFB6	0	1
BPIFC	3	0
BPNT1	2051	1396
BPTF	6032	5255
BPY2	0	0
BPY2C	0	0
BRAF	2199	2635
BRAP	1196	1993
BRAT1	3292	1818
BRCA1	958	498
BRCA2	729	129
BRCC3	988	1305
BRD1	2830	1934
BRD2	7091	9584
BRD3	1842	2034
BRD4	4261	3965
BRD7	2742	3448
BRD8	1475	2334
BRD9	3559	1616
BRDT	2	0
BRF1	1280	1523
BRF2	187	550
BRI3	6572	4883
BRI3BP	1111	942
BRICD5	127	19
BRINP1	3	80
BRINP2	18	97
BRINP3	3	9
BRIP1	594	100
BRIX1	4054	962
BRK1	14434	10232
BRMS1	3277	1050
BRMS1L	408	616
BROX	3028	3310
BRPF1	2151	1089
BRPF3	2353	2720
BRS3	0	5
BRSK1	366	52
BRSK2	184	12
BRWD1	4443	5008
BRWD3	2276	1032
BSCL2	121	74
BSDC1	4707	5273
BSG	36776	22730
BSN	28	94
BSND	13	0
BSPH1	0	0
BSPRY	3159	322
BST1	85	752
BST2	8409	4419
BSX	0	1
BTAF1	1721	3113
BTBD1	2596	4890
BTBD10	1361	1437
BTBD16	7	1
BTBD17	0	1
BTBD18	0	5
BTBD19	178	190
BTBD2	6174	3240
BTBD3	6658	1388
BTBD6	2008	6655
BTBD7	1379	3324
BTBD8	259	851
BTBD9	1011	1090
BTC	255	165
BTD	1156	6917
BTF3	8809	23342
BTF3L4	3273	3014
BTG1	5532	10907
BTG2	1091	6826
BTG3	2013	750
BTG4	3	3
BTK	96	416
BTLA	4	33
BTN1A1	0	3
BTN2A1	1352	1278
BTN2A2	528	634
BTN3A1	776	2925
BTN3A2	1248	3874
BTN3A3	434	2442
BTNL2	0	1
BTNL3	0	5
BTNL8	2	15
BTNL9	25	10954
BTRC	903	1509
BUB1	4380	91
BUB1B	2095	68
BUB3	5890	3573
BUD13	914	1086
BUD31	2332	1182
BVES	253	649
BYSL	1807	486
BZW1	7272	7332
BZW2	7347	1829
C10orf105	0	9
C10orf120	2	0
C10orf53	0	0
C10orf55	18	18
C10orf62	0	2
C10orf67	6	1
C10orf71	0	8
C10orf82	0	34
C10orf88	663	450
C10orf90	345	62
C10orf95	0	0
C11orf16	13	2
C11orf21	1	29
C11orf24	3095	1607
C11orf40	0	0
C11orf42	5	17
C11orf52	1	0
C11orf54	408	816
C11orf58	5363	9627
C11orf65	18	30
C11orf68	1617	1709
C11orf71	216	412
C11orf80	866	275
C11orf86	3	3
C11orf87	2	49
C11orf91	2	3
C11orf96	336	175
C11orf97	1	0
C11orf98	0	2
C12orf29	564	878
C12orf4	1159	996
C12orf40	0	3
C12orf42	12	1
C12orf43	410	926
C12orf50	0	0
C12orf54	5	22
C12orf56	10	1
C12orf57	591	754
C12orf60	286	87
C12orf71	8	6
C12orf75	1256	675
C12orf76	297	338
C14orf119	1873	1754
C14orf132	561	2717
C14orf178	2	1
C14orf180	0	1734
C14orf28	80	560
C14orf39	0	20
C14orf93	219	431
C15orf32	0	0
C15orf39	2721	1305
C15orf40	442	1123
C15orf48	363	12
C15orf61	158	178
C15orf62	60	87
C16orf46	1	2
C16orf54	26	96
C16orf74	139	100
C16orf78	0	0
C16orf82	0	2
C16orf86	25	186
C16orf87	531	390
C16orf89	6	1555
C16orf90	1	1
C16orf92	1	0
C16orf95	24	14
C16orf96	3	5
C17orf100	109	45
C17orf107	15	21
C17orf49	25	29
C17orf50	1	5
C17orf58	697	1407
C17orf67	63	88
C17orf75	496	663
C17orf78	6	6
C17orf80	935	1135
C17orf97	161	70
C17orf98	0	3
C17orf99	5	2
C18orf21	535	503
C18orf25	1335	1797
C18orf32	87	274
C18orf54	356	383
C18orf63	0	4
C19orf12	2077	5773
C19orf18	56	32
C19orf25	864	568
C19orf33	0	0
C19orf38	52	57
C19orf44	391	317
C19orf47	1786	429
C19orf53	3341	2378
C19orf67	0	2
C19orf73	53	11
C19orf81	35	2
C19orf84	10	0
C1D	740	766
C1GALT1	3585	1676
C1GALT1C1	4369	1345
C1GALT1C1L	114	142
C1QA	445	8109
C1QB	355	8760
C1QBP	5517	2654
C1QC	647	6806
C1QL1	44	6
C1QL2	176	5
C1QL3	34	0
C1QL4	19	0
C1QTNF1	1357	9364
C1QTNF2	72	380
C1QTNF3	470	388
C1QTNF4	3	59
C1QTNF5	0	1
C1QTNF6	1220	416
C1QTNF7	8	2662
C1QTNF8	0	0
C1QTNF9	0	147
C1QTNF9B	0	2
C1R	9857	36187
C1RL	2296	3426
C1S	11041	56629
C1orf100	2	4
C1orf105	2	2
C1orf109	1263	1106
C1orf112	1083	215
C1orf115	674	10637
C1orf116	1524	597
C1orf122	2734	1223
C1orf127	2	10
C1orf131	576	485
C1orf141	0	0
C1orf146	3	1
C1orf159	954	203
C1orf162	252	520
C1orf167	2	1
C1orf174	1251	912
C1orf185	0	3
C1orf198	11251	3820
C1orf21	3077	6422
C1orf210	756	81
C1orf216	2618	1243
C1orf226	974	658
C1orf35	995	415
C1orf43	21392	12798
C1orf50	75	262
C1orf52	924	798
C1orf53	93	49
C1orf54	266	405
C1orf56	369	389
C1orf68	0	0
C1orf74	264	139
C1orf87	1	3
C1orf94	2	1
C2	140	631
C20orf141	0	2
C20orf144	32	0
C20orf173	3	0
C20orf202	26	41
C20orf203	1	2
C20orf85	1	1
C20orf96	917	423
C21orf140	0	0
C21orf58	763	126
C21orf62	4	36
C21orf91	1039	1577
C22orf15	2	3
C22orf23	416	105
C22orf31	0	9
C22orf39	953	3275
C22orf42	1	1
C2CD2	2674	13242
C2CD2L	685	571
C2CD3	1358	1271
C2CD4A	27	13
C2CD4B	15	53
C2CD4C	51	76
C2CD4D	152	19
C2CD5	1502	2539
C2orf15	51	51
C2orf16	171	155
C2orf27A	407	134
C2orf42	517	618
C2orf49	1226	1598
C2orf50	33	13
C2orf66	16	8
C2orf68	2223	2015
C2orf69	1641	1330
C2orf72	246	64
C2orf73	4	48
C2orf74	8	35
C2orf76	647	504
C2orf78	0	1
C2orf80	0	0
C2orf81	31	13
C2orf83	0	2
C2orf88	41	639
C3	2768	148148
C3AR1	225	972
C3orf14	782	358
C3orf18	326	790
C3orf20	4	3
C3orf22	2	0
C3orf33	35	49
C3orf36	2	2
C3orf38	1132	1039
C3orf52	563	144
C3orf62	267	391
C3orf70	276	319
C3orf80	155	67
C3orf84	0	0
C4A	99	549
C4B	59	575
C4BPA	4	71
C4BPB	0	31
C4orf17	1	1
C4orf19	295	503
C4orf3	11539	11886
C4orf33	369	539
C4orf36	2	2
C4orf45	0	4
C4orf46	1217	445
C4orf47	186	19
C4orf48	256	65
C4orf51	2	0
C5	75	867
C5AR1	579	448
C5AR2	70	137
C5orf15	1840	3713
C5orf22	2774	1227
C5orf24	1990	3624
C5orf34	555	74
C5orf46	5282	30
C5orf47	1	0
C5orf52	0	0
C5orf58	2	37
C5orf60	1	0
C5orf63	173	235
C5orf64	2	22
C6	5	2542
C6orf118	1	0
C6orf120	697	2402
C6orf132	2144	535
C6orf136	420	440
C6orf141	263	205
C6orf15	165	8
C6orf163	19	48
C6orf226	112	171
C6orf47	1054	725
C6orf52	40	24
C6orf58	2	19
C6orf62	5262	9369
C6orf89	4485	10153
C7	81	4724
C7orf25	29	18
C7orf31	185	404
C7orf33	0	0
C7orf50	5601	1543
C7orf57	11	2
C8A	0	0
C8B	3	1
C8G	90	9
C8orf33	4321	3581
C8orf34	12	141
C8orf44	93	192
C8orf44-SGK3	0	0
C8orf48	60	83
C8orf58	479	272
C8orf74	1	0
C8orf76	281	80
C8orf82	1035	625
C8orf88	16	79
C8orf89	1	13
C9	2	1
C9orf131	7	3
C9orf152	8	207
C9orf153	3	6
C9orf163	16	3
C9orf24	6	81
C9orf40	792	411
C9orf43	33	24
C9orf50	5	4
C9orf57	0	0
C9orf64	428	1109
C9orf72	343	800
C9orf78	2558	2627
C9orf85	367	638
CA1	0	1
CA10	1	2
CA11	368	252
CA12	3140	3063
CA13	1334	106
CA14	255	28
CA2	1459	547
CA3	74	1412
CA4	1	2274
CA5A	0	1
CA5B	227	996
CA6	0	8
CA7	2	1
CA8	733	457
CA9	1252	5
CAAP1	609	806
CAB39	4166	7130
CAB39L	1265	4285
CABIN1	4993	2831
CABLES1	1602	3801
CABLES2	2136	249
CABP1	43	204
CABP2	0	0
CABP4	18	91
CABP5	0	0
CABP7	13	3
CABS1	4	0
CABYR	147	84
CACFD1	1861	469
CACHD1	1019	3487
CACNA1A	51	80
CACNA1B	108	7
CACNA1C	1333	578
CACNA1D	289	233
CACNA1E	4	4
CACNA1F	9	27
CACNA1G	12	100
CACNA1H	518	440
CACNA1I	127	7
CACNA1S	2	1
CACNA2D1	313	3001
CACNA2D2	112	188
CACNA2D3	70	101
CACNA2D4	49	437
CACNB1	258	138
CACNB2	114	244
CACNB3	4913	506
CACNB4	22	187
CACNG1	10	7
CACNG2	1	0
CACNG3	0	0
CACNG4	3052	302
CACNG5	28	1
CACNG6	20	2
CACNG7	22	0
CACNG8	67	15
CACTIN	891	475
CACUL1	5789	4172
CAD	10972	2488
CADM1	4232	1134
CADM2	0	276
CADM3	9	576
CADM4	4662	546
CADPS	66	6
CADPS2	3790	2247
CAGE1	2	2
CALB1	6	39
CALB2	11915	10090
CALCA	0	1
CALCB	0	3
CALCOCO1	1499	10159
CALCOCO2	2862	12862
CALCR	2	59
CALCRL	931	11001
CALD1	34799	35089
CALHM1	1	2
CALHM2	1058	2274
CALHM3	8	3
CALM1	11261	28442
CALM2	47522	24045
CALM3	18135	8047
CALML3	1	5
CALML4	8	9
CALML5	44	21
CALML6	33	13
CALN1	2	67
CALR	51518	20310
CALR3	10	1
CALU	37789	11516
CALY	2	0
CAMK1	56	204
CAMK1D	4059	2290
CAMK1G	50	26
CAMK2A	38	8
CAMK2B	34	22
CAMK2D	2860	3697
CAMK2G	2189	2259
CAMK2N1	6170	1787
CAMK2N2	21	6
CAMK4	70	58
CAMKK1	618	588
CAMKK2	4336	5573
CAMKMT	401	262
CAMKV	43	1
CAMLG	1165	3006
CAMP	7	0
CAMSAP1	3606	2389
CAMSAP2	3703	4214
CAMSAP3	2409	172
CAMTA1	2684	1355
CAMTA2	1256	2588
CAND1	8640	7222
CAND2	213	368
CANT1	6808	2452
CANX	39439	41587
CAP1	25329	17457
CAP2	1159	2928
CAPG	22186	2341
CAPN1	17408	5811
CAPN10	736	354
CAPN11	3	275
CAPN12	352	8
CAPN13	462	156
CAPN14	18	9
CAPN15	1856	651
CAPN2	14214	18111
CAPN3	24	212
CAPN5	615	1158
CAPN6	1783	1090
CAPN7	1618	3129
CAPN8	0	287
CAPN9	89	12
CAPNS1	33676	16656
CAPNS2	6	4
CAPRIN1	18531	15863
CAPRIN2	681	1396
CAPS	2307	133
CAPS2	116	352
CAPSL	12	0
CAPZA1	10102	6782
CAPZA2	6229	9164
CAPZA3	3	3
CAPZB	16167	10984
CARD10	1034	1152
CARD11	57	73
CARD14	806	62
CARD16	137	331
CARD18	0	0
CARD6	1077	1530
CARD8	1020	3096
CARD9	201	69
CARF	218	640
CARHSP1	1470	2278
CARM1	2760	1642
CARNS1	37	77
CARS2	3538	2118
CARTPT	0	0
CASC3	5707	8338
CASD1	1135	1940
CASK	5337	2336
CASKIN1	72	9
CASKIN2	3393	2555
CASP1	421	1386
CASP10	1121	1372
CASP12	9	30
CASP14	910	331
CASP2	5368	1687
CASP3	3030	1116
CASP4	1439	2423
CASP5	3	2
CASP6	1711	581
CASP7	1678	1129
CASP8	869	1430
CASP8AP2	895	1420
CASP9	450	530
CASQ1	3	29
CASQ2	14	695
CASR	1	0
CASS4	34	64
CAST	19832	17098
CASZ1	1751	433
CAT	1676	37960
CATIP	4	4
CATSPER1	26	5
CATSPER2	117	107
CATSPER3	15	12
CATSPER4	0	0
CATSPERB	24	56
CATSPERD	3	0
CATSPERG	169	97
CAV1	4365	82663
CAV2	3380	23369
CAV3	0	9
CBFA2T2	4209	1506
CBFA2T3	533	578
CBFB	2128	1731
CBL	2548	3472
CBLB	2544	2570
CBLC	2753	90
CBLL1	2050	1910
CBLN1	61	66
CBLN2	0	5
CBLN3	103	359
CBLN4	75	165
CBR1	2509	1549
CBR3	85	269
CBR4	598	1535
CBS	231	12
CBX1	4510	3233
CBX2	5623	186
CBX3	17667	6526
CBX4	1587	373
CBX5	4188	7810
CBX6	4784	4501
CBX7	580	3955
CBX8	719	104
CBY1	880	1162
CBY3	2	1
CC2D1A	1771	1333
CC2D1B	2446	1652
CC2D2A	456	1857
CC2D2B	17	28
CCAR1	4703	2684
CCAR2	2627	2764
CCBE1	47	687
CCDC102A	376	291
CCDC102B	394	288
CCDC103	0	0
CCDC105	0	0
CCDC106	898	692
CCDC107	148	185
CCDC110	147	48
CCDC112	554	477
CCDC113	459	393
CCDC115	2519	2453
CCDC116	3	11
CCDC117	2533	2446
CCDC12	1515	883
CCDC120	1525	306
CCDC121	170	448
CCDC122	96	192
CCDC124	3099	1501
CCDC125	524	813
CCDC126	410	625
CCDC127	2251	1697
CCDC13	0	3
CCDC134	907	410
CCDC136	69	316
CCDC137	2733	558
CCDC138	665	101
CCDC14	2628	1903
CCDC140	1	3
CCDC141	0	141
CCDC142	594	298
CCDC144A	0	70
CCDC144NL	0	0
CCDC146	225	423
CCDC148	39	37
CCDC149	1210	1161
CCDC15	123	193
CCDC150	579	47
CCDC152	18	324
CCDC153	56	61
CCDC154	13	10
CCDC157	215	25
CCDC158	32	317
CCDC159	260	430
CCDC160	80	61
CCDC166	4	0
CCDC167	1219	147
CCDC168	19	6
CCDC169	63	50
CCDC169-SOHLH2	0	0
CCDC17	56	65
CCDC170	30	1577
CCDC171	102	207
CCDC172	0	0
CCDC174	649	1262
CCDC175	1	0
CCDC177	1	3
CCDC178	3	158
CCDC179	0	0
CCDC18	385	243
CCDC180	13	78
CCDC181	17	21
CCDC182	0	0
CCDC183	28	18
CCDC184	65	61
CCDC185	11	0
CCDC186	2668	1769
CCDC22	1475	838
CCDC24	287	160
CCDC25	869	2923
CCDC27	9	0
CCDC28A	564	1376
CCDC28B	652	100
CCDC3	1318	8637
CCDC30	166	186
CCDC33	11	2
CCDC34	541	479
CCDC38	2	7
CCDC39	8	16
CCDC40	181	226
CCDC42	0	1
CCDC43	733	632
CCDC47	8501	5834
CCDC50	3858	14164
CCDC51	1645	669
CCDC54	1	3
CCDC57	2085	648
CCDC59	890	1277
CCDC6	9164	5191
CCDC60	3	2
CCDC61	1568	323
CCDC62	12	17
CCDC63	0	0
CCDC65	224	65
CCDC66	518	759
CCDC68	231	298
CCDC69	177	20096
CCDC7	130	125
CCDC70	4	0
CCDC71	751	779
CCDC71L	4017	2141
CCDC73	2	0
CCDC74A	301	138
CCDC74B	42	57
CCDC77	754	362
CCDC78	84	22
CCDC8	1453	812
CCDC80	6341	93091
CCDC81	53	17
CCDC82	967	2649
CCDC83	0	0
CCDC85A	9	170
CCDC85B	522	507
CCDC85C	1551	357
CCDC86	1084	527
CCDC87	13	11
CCDC88A	960	2361
CCDC88B	204	186
CCDC88C	1694	1046
CCDC89	27	80
CCDC9	2870	626
CCDC90B	1175	2361
CCDC91	1107	1815
CCDC92	2098	4100
CCDC93	2054	2821
CCDC96	115	61
CCDC97	4207	1805
CCER1	0	0
CCER2	20	6
CCHCR1	1001	714
CCIN	43	15
CCK	2	3
CCKAR	1	9
CCKBR	386	2
CCL1	0	1
CCL11	5	3
CCL13	4	813
CCL14	0	214
CCL15	0	0
CCL16	0	48
CCL17	16	5
CCL18	71	260
CCL19	3	389
CCL2	1586	1104
CCL20	131	1
CCL21	6	1882
CCL22	14	42
CCL23	4	60
CCL24	2	91
CCL25	2	0
CCL26	30	18
CCL27	0	0
CCL28	247	1854
CCL3	26	11
CCL4	66	109
CCL4L2	80	31
CCL5	2317	483
CCL7	229	0
CCL8	345	154
CCM2	3916	2637
CCM2L	54	489
CCNA1	85	23
CCNA2	1734	135
CCNB1	3117	242
CCNB1IP1	1440	1376
CCNB2	2518	81
CCNB3	71	81
CCNC	2110	2709
CCND1	5198	14712
CCND2	1141	4075
CCND3	2185	3702
CCNDBP1	1660	4573
CCNE1	2522	90
CCNE2	184	70
CCNF	1565	378
CCNG1	3673	9516
CCNG2	2466	7979
CCNH	423	1844
CCNI	16092	31661
CCNI2	44	12
CCNJ	511	445
CCNJL	2246	107
CCNK	366	330
CCNL1	2935	2909
CCNL2	5032	4101
CCNO	10	36
CCNT1	2497	2804
CCNT2	1796	2475
CCNY	10500	5976
CCNYL1	1004	1120
CCP110	708	1341
CCPG1	737	1758
CCR1	568	633
CCR10	26	57
CCR2	21	173
CCR3	44	0
CCR4	26	26
CCR5	143	170
CCR6	0	0
CCR7	7	53
CCR8	0	4
CCR9	1	3
CCRL2	57	185
CCS	872	941
CCSAP	1616	640
CCSER1	281	132
CCSER2	2706	5442
CCT2	7549	4650
CCT3	70204	8443
CCT4	10017	5419
CCT5	24346	5912
CCT6A	21777	7408
CCT6B	110	124
CCT7	20139	9243
CCT8	12691	6106
CCT8L2	0	0
CCZ1	796	302
CCZ1B	681	343
CD101	139	32
CD109	3594	4941
CD14	1126	5554
CD151	13044	17617
CD160	18	28
CD163	1590	5169
CD163L1	808	872
CD164	9724	44328
CD164L2	485	14
CD177	1	61
CD180	2547	218
CD19	3	10
CD1A	0	6
CD1B	0	4
CD1C	4	123
CD1D	30	87
CD1E	4	15
CD2	28	182
CD200	360	1212
CD200R1	14	268
CD200R1L	0	0
CD207	5	60
CD209	22	1534
CD22	44	98
CD226	82	97
CD24	39840	4552
CD244	11	53
CD247	34	123
CD248	2970	10883
CD27	15	38
CD274	72	170
CD276	10705	3731
CD28	33	146
CD2AP	2565	3002
CD2BP2	2993	2583
CD300A	430	216
CD300C	37	75
CD300E	419	53
CD300LB	14	43
CD300LD	0	0
CD300LF	27	32
CD300LG	1	7764
CD302	131	1643
CD320	2295	1771
CD33	73	381
CD34	3896	25959
CD36	1063	209276
CD37	230	301
CD38	15	147
CD3D	10	59
CD3E	26	224
CD3G	11	75
CD4	752	3695
CD40	351	1476
CD40LG	1	33
CD44	18798	16729
CD46	5972	17793
CD47	11554	7367
CD48	36	104
CD5	15	63
CD52	154	239
CD53	525	1324
CD55	5933	4597
CD58	739	667
CD59	19016	27248
CD5L	0	0
CD6	185	130
CD63	20566	39433
CD68	0	4
CD69	22	56
CD7	85	62
CD70	37	68
CD72	102	69
CD74	11504	63354
CD79A	50	128
CD79B	22	115
CD80	44	11
CD81	30157	59161
CD82	4084	1430
CD83	748	347
CD84	154	895
CD86	218	483
CD8A	49	178
CD8B	6	63
CD9	20068	6358
CD93	6945	12360
CD96	31	329
CD99	13414	16402
CD99L2	1608	9049
CDA	55	91
CDADC1	260	901
CDAN1	629	549
CDC123	6054	1678
CDC14A	407	477
CDC14B	1003	3572
CDC16	3558	4734
CDC20	6958	87
CDC20B	2	16
CDC23	1625	1844
CDC25A	1757	46
CDC25B	5891	1550
CDC25C	476	8
CDC26	369	394
CDC27	3304	4494
CDC34	2503	1448
CDC37	5686	5810
CDC37L1	597	2863
CDC40	901	1462
CDC42	16386	13512
CDC42BPA	3168	6509
CDC42BPB	4522	9287
CDC42BPG	2400	396
CDC42EP1	12361	2276
CDC42EP2	0	4
CDC42EP3	4260	2377
CDC42EP4	13572	5688
CDC42EP5	254	248
CDC42SE1	12947	2951
CDC42SE2	2286	2836
CDC45	1056	32
CDC5L	2565	3289
CDC6	2186	133
CDC7	1077	144
CDC73	3083	3485
CDCA2	1503	24
CDCA3	1311	56
CDCA4	866	187
CDCA5	2292	117
CDCA7	1620	110
CDCA7L	1096	454
CDCA8	3647	90
CDCP1	6450	527
CDCP2	0	0
CDH1	24739	3950
CDH10	0	17
CDH11	5777	1860
CDH12	2	9
CDH13	1254	1665
CDH15	33	2
CDH16	0	0
CDH17	12	7
CDH18	2	5
CDH19	951	90
CDH2	684	36
CDH20	0	412
CDH22	0	17
CDH23	230	3727
CDH24	506	366
CDH26	38	58
CDH3	13425	1225
CDH4	78	61
CDH5	2706	9992
CDH6	353	473
CDH7	2	1
CDH8	84	126
CDH9	0	1
CDHR1	1	13
CDHR2	53	3
CDHR3	142	322
CDHR4	0	5
CDHR5	4	7
CDIP1	1238	1679
CDIPT	3716	5142
CDK1	3952	259
CDK10	1204	1299
CDK11A	29	41
CDK11B	1396	1321
CDK12	7394	3025
CDK13	4451	2879
CDK14	1534	1778
CDK15	49	154
CDK16	11734	4982
CDK17	1197	1984
CDK18	1930	385
CDK19	2059	1834
CDK2	1502	611
CDK20	426	170
CDK2AP1	20479	6596
CDK2AP2	2196	1415
CDK3	37	8
CDK4	3783	2092
CDK5	1171	320
CDK5R1	621	69
CDK5R2	9	1
CDK5RAP1	2046	1048
CDK5RAP2	3201	3905
CDK5RAP3	180	160
CDK6	8252	1794
CDK7	878	709
CDK8	1339	930
CDK9	2153	2310
CDKAL1	1107	940
CDKL1	191	353
CDKL2	4	57
CDKL3	20	26
CDKL4	5	7
CDKL5	1915	1215
CDKN1A	4326	1742
CDKN1B	2258	5366
CDKN1C	695	7055
CDKN2A	4622	240
CDKN2AIP	1240	1828
CDKN2AIPNL	1079	1062
CDKN2B	4518	5818
CDKN2C	324	8000
